BVH Initialization,3.23291
Bounding Box Kernel,0.0853448,0.021962
Hierarchy Creation Kernel,0.0779448,0.0163881
Morton Code Kernel,0.0116652,0.000567757
Primitive+World BBox Kernel,0.535315,0.0462585
Radix Sort Kernel,0.519617,0.0317372
Ray Count,262144
Rays traced per second,8.12607e+07,3.35614e+06
Total BVH Construction Time,5.40454
Total BVH Kernel Time,1.22989,0.0797849
Total Rendering Time,3.23147,0.143003
Total Run Time,28.188
Vulkan Device Init,19.552
