BVH Initialization,2.9707
Bounding Box Kernel,0.0746948,0.00179139
Hierarchy Creation Kernel,0.0720248,0.00102053
Morton Code Kernel,0.0112804,0.000216976
Primitive+World BBox Kernel,0.509885,0.00724294
Radix Sort Kernel,0.489254,0.0191003
Ray Count,262144
Rays traced per second,1.76497e+07,460086
Total BVH Construction Time,5.14966
Total BVH Kernel Time,1.15714,0.027838
Total Rendering Time,14.8621,0.389361
Total Run Time,38.9141
Vulkan Device Init,18.9023
